Atomic Number,Element,Multiplicity,Term Symbol,ΔfH°(0),ΔfH°gas,StdErr,(from web elements) gas atom Hº298-Hº0,standard state Hº298-Hº0,"Sºgas,1 bar",StdErr2,Reference,,OpenKIM/MEAM_LAMMPS_CuiGaoCui_2012_LiSi__MO_557492625287_002
1,H,2,2S1/2,216.034,218,0.006,6.197,8.468,114.72,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/H,JANAF,
2,He,1,1S0,0,0,,6.197,6.197,126.15,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/He,JANAF,
3,Li,2,2S1/2,,159.3,1,6.197,4.632,138.78,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Li,JANAF,-158.9401
4,Be,1,1S0,,324,5,6.197,1.95,136.27,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Be,JANAF,
5,B,2,2P1/2,,560,5,6.316,1.222,153.44,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/B,JANAF,
6,C,3,3P0,,716.67,0.45,6.536,1.05,158.1,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/C,JANAF,
7,N,4,4S3/2,,472.68,0.4,6.197,8.67,153.28,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/N,JANAF,
8,O,3,3P2,,249.18,0.01,6.725,8.68,161.059,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/O,CODATA,
9,F,2,2P3/2,,79.39,0.3,6.518,8.815,158.78,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/F,JANAF,
10,Ne,1,1S0,,0,,6.197,6.197,146.33,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ne,JANAF,
11,Na,2,2S1/2,,107.3,0.7,6.197,6.46,153.65,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Na,JANAF,
12,Mg,1,1S0,,147.1,0.8,6.197,4.998,148.65,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Mg,JANAF,
13,Al,2,2P1/2,,329.7,4,6.919,4.54,164.57,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Al,JANAF,
14,Si,3,3P0,,450,8,7.55,3.217,167.98,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Si,JANAF,-446.607
15,P,4,4S3/2,,316.39,1,6.197,5.36,163.2,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/P,JANAF,
16,S,3,3P2,,276.98,0.15,6.657,4.412,167.83,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Si,JANAF,
17,Cl,2,2P3/2,,121.3,0.008,6.272,9.181,165.19,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Cl,JANAF,
18,Ar,1,1S0,,0,,6.197,6.197,154.84,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ar,JANAF,
19,K,2,2S1/2,,89,0.8,6.197,7.088,160.34,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/K,JANAF,
20,Ca,1,1S0,,177.8,0.8,6.197,5.736,154.89,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ca,JANAF,
21,Sc,2,2D3/2,,378,,7,5.22,174.7,,https://www.webelements.com/scandium/thermochemistry.html,,
22,Ti,3,3F2,,473.63,3,7.539,4.824,180.3,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ti,JANAF,
23,V,4,4F3/2,,515.47,,4,4.64,182.31,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/V,JANAF,
24,Cr,7,7S3,,397.48,,6.2,4.6,174.31,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Cr,JANAF,
25,Mn,6,6S5/2,,283.26,,6.2,5,173.72,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Mn,JANAF,
26,Fe,5,5D4,,415.47,,6.851,4.256,180.49,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Fe,JANAF,
27,Co,4,4F9/2,,426.68,,6.36,4.77,179.51,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Co,JANAF,
28,Ni,3,3F4,,430.12,,6.82,4.79,182.19,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ni,JANAF,
29,Cu,2,2S1/2,,337.6,1.2,6.197,5.004,166.4,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Cu,JANAF,
30,Zn,1,1S0,,130.42,0.4,6.197,5.657,160.99,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Zn,JANAF,
31,Ga,2,2P1/2,,271.96,,6.55,5.57,169.03,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ga,JANAF,
32,Ge,3,3P0,,372,8,7.398,4.636,167.904,0.005,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ge,CODATA,
33,As,4,4S3/2,,303,,6.2,5.13,174.1,,https://www.webelements.com/scandium/thermochemistry.html,,
34,Se,3,3P2,,227.1,,6.199,5.52,252,,https://www.webelements.com/scandium/thermochemistry.html,,
35,Br,2,2P3/2,,111.86,0.12,6.197,24.52,175.02,0.004,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Br,JANAF,
36,Kr,1,1S0,,0,,6.197,6.197,164.08,0.003,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Kr,JANAF,
37,Rb,2,2S1/2,,,,,,,,,,
38,Sr,1,1S0,,,,,,,,,,
39,Y,2,2D3/2,,,,,,,,,,
40,Zr,3,3F2,,,,,,,,,,
41,Nb,6,6D1/2,,,,,,,,,,
42,Mo,7,7S3,,,,,,,,,,
43,Tc,6,6S5/2,,,,,,,,,,
44,Ru,5,5F5,,,,,,,,,,
45,Rh,4,4F9/2,,,,,,,,,,
46,Pd,1,1S0,,,,,,,,,,
47,Ag,2,2S1/2,,,,,,,,,,
48,Cd,1,1S0,,,,,,,,,,
49,In,2,2P1/2,,,,,,,,,,
50,Sn,3,3P0,,,,,,,,,,
51,Sb,4,4S3/2,,,,,,,,,,
52,Te,3,3P2,,,,,,,,,,
53,I,2,2P3/2,,,,,,,,,,
54,Xe,1,1S0,,,,,,,,,,
55,Cs,2,2S1/2,,,,,,,,,,
56,Ba,1,1S0,,,,,,,,,,
57,La,2,2D3/2,,,,,,,,,,
58,Ce,1,1G4,,,,,,,,,,
59,Pr,4,4I9/2,,,,,,,,,,
60,Nd,5,5I4,,,,,,,,,,
61,Pm,6,6H5/2,,,,,,,,,,
62,Sm,7,7F0,,,,,,,,,,
63,Eu,8,8S7/2,,,,,,,,,,
64,Gd,9,9D2,,,,,,,,,,
65,Tb,6,6H15/2,,,,,,,,,,
66,Dy,5,5I8,,,,,,,,,,
67,Ho,4,4I15/2,,,,,,,,,,
68,Er,3,3H6,,,,,,,,,,
69,Tm,2,2F7/2,,,,,,,,,,
70,Yb,1,1S0,,,,,,,,,,
71,Lu,2,2D3/2,,,,,,,,,,
72,Hf,3,3F2,,,,,,,,,,
73,Ta,4,4F3/2,,,,,,,,,,
74,W,5,5D0,,,,,,,,,,
75,Re,6,6S5/2,,,,,,,,,,
76,Os,5,5D4,,,,,,,,,,
77,Ir,4,4F9/2,,,,,,,,,,
78,Pt,3,3D3,,,,,,,,,,
79,Au,2,2S1/2,,,,,,,,,,
80,Hg,1,1S0,,,,,,,,,,
81,Tl,2,2P1/2,,,,,,,,,,
82,Pb,3,3P0,,,,,,,,,,
83,Bi,4,4S3/2,,,,,,,,,,
84,Po,3,3P2,,,,,,,,,,
85,At,2,2P3/2,,,,,,,,,,
86,Rn,1,1S0,,,,,,,,,,
87,Fr,2,2S1/2,,,,,,,,,,
88,Ra,1,1S0,,,,,,,,,,
89,Ac,2,2D3/2,,,,,,,,,,
90,Th,3,3F2,,,,,,,,,,
91,Pa,4,4K11/2,,,,,,,,,,
92,U,5,5L6,,,,,,,,,,
93,Np,6,6L11/2,,,,,,,,,,
94,Pu,7,7F0,,,,,,,,,,
95,Am,8,8S7/2,,,,,,,,,,
96,Cm,9,9D2,,,,,,,,,,
97,Bk,6,6H15/2,,,,,,,,,,
98,Cf,5,5I8,,,,,,,,,,
99,Es,4,4I15/2,,,,,,,,,,
100,Fm,3,3H6,,,,,,,,,,
101,Md,2,2F7/2,,,,,,,,,,
102,No,1,1S0,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,